BIOGUIDE_ID,OFFICE,QUARTER,PROGRAM,CATEGORY,DATE,TRANSCODE,RECORDID,PAYEE,START DATE,END DATE,PURPOSE,AMOUNT,YEAR,RECIP (orig.)
D000626,HON. WARREN DAVIDSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/23/2017,AP,E0495765,AQUA FALLS WATER,2/9/2017,2/9/2017,WATER,17.9,2017,AQUA FALLS WATER
D000626,HON. WARREN DAVIDSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/23/2017,AP,E0495766,AQUA FALLS WATER,2/24/2017,2/24/2017,WATER,13.9,2017,AQUA FALLS WATER
D000626,HON. WARREN DAVIDSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/19/2017,AP,E0477462,AQUA FALLS WATER,12/13/2016,12/13/2016,WATER,11.9,2016,AQUA FALLS WATER
D000626,HON. WARREN DAVIDSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/19/2017,AP,E0477463,AQUA FALLS WATER,12/28/2016,12/28/2016,WATER,23.9,2016,AQUA FALLS WATER
D000626,HON. WARREN DAVIDSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/19/2017,AP,E0477466,AQUA FALLS WATER,12/1/2016,12/31/2016,WATER,4,2016,AQUA FALLS WATER
D000096,HON. DANNY K. DAVIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/9/2017,AP,E0472751,HAGUE QUALITY WATER OF MD INC,1/3/2017,1/7/2017,WATER,10.5,2017,HAGUE QUALITY WATER OF MD INC
D000096,HON. DANNY K. DAVIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/5/2017,AP,E0491026,HAGUE QUALITY WATER OF MD INC,1/8/2017,2/7/2017,WATER,63,2017,HAGUE QUALITY WATER OF MD INC
D000096,HON. DANNY K. DAVIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/5/2017,AP,E0491030,HAGUE QUALITY WATER OF MD INC,2/8/2017,3/7/2017,WATER,63,2017,HAGUE QUALITY WATER OF MD INC
D000096,HON. DANNY K. DAVIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/9/2017,AP,E0472751,HAGUE QUALITY WATER OF MD INC,12/8/2016,1/2/2017,WATER,52.5,2017,HAGUE QUALITY WATER OF MD INC
D000619,HON. RODNEY DAVIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/27/2017,AP,E0488071,READYREFRESH BY NESTLE,12/27/2016,1/26/2017,WATER,84.55,2017,READYREFRESH BY NESTLE
D000619,HON. RODNEY DAVIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/23/2017,AP,E0496202,READYREFRESH BY NESTLE,1/27/2017,2/26/2017,WATER,79.26,2017,READYREFRESH BY NESTLE
D000619,HON. RODNEY DAVIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/28/2017,AP,E0479752,READYREFRESH BY NESTLE,11/27/2016,12/26/2016,WATER,63.4,2016,READYREFRESH BY NESTLE
D000598,HON. SUSAN A. DAVIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/16/2017,AP,E0488960,READYREFRESH BY NESTLE,12/27/2016,1/26/2017,WATER,31.71,2017,READYREFRESH BY NESTLE
D000598,HON. SUSAN A. DAVIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/27/2017,AP,906775,DEER PARK,1/31/2017,1/31/2017,WATER,35.94,2017,DEER PARK
D000598,HON. SUSAN A. DAVIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/28/2017,AP,912405,DEER PARK,2/28/2017,2/28/2017,WATER,41.92,2017,DEER PARK
D000598,HON. SUSAN A. DAVIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/17/2017,AP,E0478879,READYREFRESH BY NESTLE,11/27/2016,12/26/2016,WATER,31.71,2016,READYREFRESH BY NESTLE
D000598,HON. SUSAN A. DAVIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/20/2017,AP,900787,DEER PARK,12/31/2016,12/31/2016,WATER,38.93,2016,DEER PARK
D000191,HON. PETER A. DEFAZIO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/3/2017,AP,E0481813,MCKENZIE MIST,1/17/2017,1/17/2017,WATER,20.75,2017,MCKENZIE MIST
D000191,HON. PETER A. DEFAZIO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/27/2017,AP,906775,DEER PARK,1/31/2017,1/31/2017,WATER,19.99,2017,DEER PARK
D000191,HON. PETER A. DEFAZIO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/27/2017,AP,E0487629,CRYSTAL FALLS INC,1/1/2017,1/31/2017,WATER,8,2017,CRYSTAL FALLS INC
D000191,HON. PETER A. DEFAZIO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/6/2017,AP,E0490584,MCKENZIE MIST,2/1/2017,2/28/2017,WATER,38.25,2017,MCKENZIE MIST
D000191,HON. PETER A. DEFAZIO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/28/2017,AP,912405,DEER PARK,2/28/2017,2/28/2017,WATER,19.99,2017,DEER PARK
D000191,HON. PETER A. DEFAZIO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/11/2017,AP,E0474557,MCKENZIE MIST,12/20/2016,12/20/2016,WATER,29.5,2016,MCKENZIE MIST
D000191,HON. PETER A. DEFAZIO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/12/2017,AP,E0474556,CRYSTAL FALLS INC,12/1/2016,12/31/2016,WATER,15.25,2016,CRYSTAL FALLS INC
D000191,HON. PETER A. DEFAZIO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/20/2017,AP,900787,DEER PARK,12/31/2016,12/31/2016,WATER,19.99,2016,DEER PARK
D000197,HON. DIANA DEGETTE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/3/2017,AP,E0489804,DEEP ROCK WATER,12/27/2016,1/17/2017,WATER,85.03,2017,DEEP ROCK WATER
D000197,HON. DIANA DEGETTE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/7/2017,AP,E0491558,HAGUE QUALITY WATER OF MD INC,1/1/2017,12/31/2017,WATER,708,2017,HAGUE QUALITY WATER OF MD INC
D000197,HON. DIANA DEGETTE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/23/2017,AP,E0496484,DEEP ROCK WATER,1/24/2017,2/17/2017,WATER,57.57,2017,DEEP ROCK WATER
D000197,HON. DIANA DEGETTE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/9/2017,AP,E0474191,DEEP ROCK WATER,11/1/2016,11/17/2016,WATER,88.95,2016,DEEP ROCK WATER
D000197,HON. DIANA DEGETTE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/8/2017,AP,E0482698,DEEP ROCK WATER,11/30/2016,12/17/2016,WATER,36.99,2016,DEEP ROCK WATER
D000620,HON. JOHN K. DELANEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/9/2017,AP,E0476039,QUENCH,1/1/2017,1/31/2017,WATER,24.97,2017,QUENCH
D000620,HON. JOHN K. DELANEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/6/2017,AP,E0484309,QUENCH,2/1/2017,2/28/2017,WATER,24.97,2017,QUENCH
D000216,HON. ROSA L. DELAURO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/24/2017,AP,898429,COFFEE BREAK COMPANY INC,1/5/2017,1/5/2017,WATER,25,2017,COFFEE BREAK COMPANY INC
D000216,HON. ROSA L. DELAURO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/27/2017,AP,906775,DEER PARK,1/31/2017,1/31/2017,WATER,37.95,2017,DEER PARK
D000216,HON. ROSA L. DELAURO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/2/2017,AP,906816,COFFEE BREAK COMPANY INC,2/2/2017,2/2/2017,WATER,18,2017,COFFEE BREAK COMPANY INC
D000216,HON. ROSA L. DELAURO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/9/2017,AP,907290,COFFEE BREAK COMPANY INC,3/2/2017,3/2/2017,WATER,25.5,2017,COFFEE BREAK COMPANY INC
D000216,HON. ROSA L. DELAURO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/28/2017,AP,912405,DEER PARK,2/28/2017,2/28/2017,WATER,72.95,2017,DEER PARK
D000216,HON. ROSA L. DELAURO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/20/2017,AP,900787,DEER PARK,12/31/2016,12/31/2016,WATER,57.95,2016,DEER PARK
D000216,HON. ROSA L. DELAURO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/24/2017,AP,898430,COFFEE BREAK COMPANY INC,12/8/2016,12/8/2016,WATER,25,2016,COFFEE BREAK COMPANY INC
D000617,HON. SUZAN K. DELBENE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/15/2017,AP,E0476794,HAGUE QUALITY WATER OF MD INC,1/1/2017,1/31/2017,WATER,63,2017,HAGUE QUALITY WATER OF MD INC
D000617,HON. SUZAN K. DELBENE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/10/2017,AP,E0485262,CRYSTAL SPRINGS,12/28/2016,1/24/2017,WATER,35.03,2017,CRYSTAL SPRINGS
D000617,HON. SUZAN K. DELBENE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/14/2017,AP,E0485285,HAGUE QUALITY WATER OF MD INC,2/1/2017,2/28/2017,WATER,63,2017,HAGUE QUALITY WATER OF MD INC
D000617,HON. SUZAN K. DELBENE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/14/2017,AP,E0494377,CRYSTAL SPRINGS,1/25/2017,2/21/2017,WATER,55.04,2017,CRYSTAL SPRINGS
D000617,HON. SUZAN K. DELBENE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/20/2017,AP,E0494364,HAGUE QUALITY WATER OF MD INC,3/1/2017,3/31/2017,WATER,63,2017,HAGUE QUALITY WATER OF MD INC
D000617,HON. SUZAN K. DELBENE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/20/2017,AP,E0477805,CRYSTAL SPRINGS,11/30/2016,12/27/2016,WATER,44.49,2016,CRYSTAL SPRINGS
D000627,HON. VAL BUTLER DEMINGS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/27/2017,AP,906775,DEER PARK,1/31/2017,1/31/2017,WATER,85.89,2017,DEER PARK
D000627,HON. VAL BUTLER DEMINGS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/28/2017,AP,912405,DEER PARK,2/28/2017,2/28/2017,WATER,22.95,2017,DEER PARK
D000612,HON. JEFF DENHAM,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/13/2017,AP,E0487052,READYREFRESH BY NESTLE,1/10/2017,1/26/2017,WATER,195.65,2017,READYREFRESH BY NESTLE
D000612,HON. JEFF DENHAM,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/16/2017,AP,E0488516,FIRST CHOICE COFFEE SERVICES,1/28/2017,1/28/2017,WATER,7,2017,FIRST CHOICE COFFEE SERVICES
D000612,HON. JEFF DENHAM,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/27/2017,AP,E0491434,FIRST CHOICE COFFEE SERVICES,1/18/2017,1/18/2017,WATER,8.7,2017,FIRST CHOICE COFFEE SERVICES
D000612,HON. JEFF DENHAM,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/23/2017,AP,E0498217,FIRST CHOICE COFFEE SERVICES,2/28/2017,2/28/2017,WATER,7,2017,FIRST CHOICE COFFEE SERVICES
D000612,HON. JEFF DENHAM,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/12/2017,AP,E0477702,READYREFRESH BY NESTLE,11/27/2016,12/26/2016,WATER,20,2016,READYREFRESH BY NESTLE
D000612,HON. JEFF DENHAM,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/12/2017,AP,E0477772,FIRST CHOICE COFFEE SERVICES,12/28/2016,12/28/2016,WATER,7,2016,FIRST CHOICE COFFEE SERVICES
D000604,HON. CHARLES W. DENT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/30/2017,AP,E0482144,HAGUE QUALITY WATER OF MD INC,1/6/2017,12/31/2017,WATER,831,2017,HAGUE QUALITY WATER OF MD INC
D000604,HON. CHARLES W. DENT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/27/2017,AP,906775,DEER PARK,1/31/2017,1/31/2017,WATER,166.93,2017,DEER PARK
D000604,HON. CHARLES W. DENT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/28/2017,AP,912405,DEER PARK,2/28/2017,2/28/2017,WATER,29.94,2017,DEER PARK
D000604,HON. CHARLES W. DENT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/20/2017,AP,900787,DEER PARK,12/31/2016,12/31/2016,WATER,107.89,2016,DEER PARK
D000621,HON. RON DESANTIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/3/2017,AP,E0483934,READYREFRESH BY NESTLE,1/5/2017,1/26/2017,WATER,70.8,2017,READYREFRESH BY NESTLE
D000621,HON. RON DESANTIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/8/2017,AP,E0485534,CRYSTAL SPRINGS,1/4/2017,1/31/2017,WATER,42.27,2017,CRYSTAL SPRINGS
D000621,HON. RON DESANTIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/10/2017,AP,E0485617,CRYSTAL SPRINGS,1/9/2017,1/31/2017,WATER,46.02,2017,CRYSTAL SPRINGS
D000621,HON. RON DESANTIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/14/2017,AP,E0494541,CRYSTAL SPRINGS,2/1/2017,2/28/2017,WATER,55.36,2017,CRYSTAL SPRINGS
D000621,HON. RON DESANTIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/14/2017,AP,E0494543,NORMAN SHERRY C.,2/28/2017,2/28/2017,WATER,4.49,2017,NORMAN SHERRY C.
D000621,HON. RON DESANTIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/14/2017,AP,E0494545,CRYSTAL SPRINGS,3/2/2017,3/2/2017,WATER,32.04,2017,CRYSTAL SPRINGS
D000621,HON. RON DESANTIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/14/2017,AP,E0494546,READYREFRESH BY NESTLE,2/7/2017,2/26/2017,WATER,65.51,2017,READYREFRESH BY NESTLE
D000621,HON. RON DESANTIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/31/2017,AP,E0481940,CRYSTAL SPRINGS,12/21/2016,12/21/2016,WATER,14.91,2016,CRYSTAL SPRINGS
D000621,HON. RON DESANTIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/3/2017,AP,E0483932,READYREFRESH BY NESTLE,12/20/2016,12/26/2016,WATER,28.46,2016,READYREFRESH BY NESTLE
D000621,HON. RON DESANTIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/6/2017,AP,E0481922,CRYSTAL SPRINGS,12/7/2016,12/30/2016,WATER,72.38,2016,CRYSTAL SPRINGS
D000623,HON. MARK DESAULNIER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/10/2017,AP,E0486272,READYREFRESH BY NESTLE,12/12/2016,1/6/2017,WATER,118.63,2017,READYREFRESH BY NESTLE
D000623,HON. MARK DESAULNIER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/29/2017,AP,E0500238,READYREFRESH BY NESTLE,3/7/2017,3/18/2017,WATER,62,2017,READYREFRESH BY NESTLE
D000616,HON. SCOTT DESJARLAIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/11/2017,AP,E0475538,COLUMBIA POWER & WATER,12/11/2016,1/11/2017,UTILITIES,87.22,2017,COLUMBIA POWER & WATER
D000616,HON. SCOTT DESJARLAIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/25/2017,AP,E0480288,COLUMBIA POWER & WATER,1/11/2017,2/11/2017,UTILITIES,87.22,2017,COLUMBIA POWER & WATER
D000616,HON. SCOTT DESJARLAIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/1/2017,AP,E0480330,COLUMBIA POWER & WATER,1/11/2017,2/11/2017,UTILITIES,87.22,2017,COLUMBIA POWER & WATER
D000616,HON. SCOTT DESJARLAIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/24/2017,AP,E0487946,COLUMBIA POWER & WATER,1/1/2017,2/1/2017,UTILITIES,185.34,2017,COLUMBIA POWER & WATER
D000616,HON. SCOTT DESJARLAIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/11/2017,AP,E0475539,QUENCH,1/1/2017,1/31/2017,WATER,235,2017,QUENCH
D000616,HON. SCOTT DESJARLAIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/8/2017,AP,E0484988,QUENCH,2/1/2017,2/28/2017,WATER,235,2017,QUENCH
D000616,HON. SCOTT DESJARLAIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/10/2017,AP,E0484991,POND SHIRLEY,1/19/2017,1/22/2017,WATER,2,2017,POND SHIRLEY
D000616,HON. SCOTT DESJARLAIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/6/2017,AP,E0492436,QUENCH,3/1/2017,3/31/2017,WATER,235,2017,QUENCH
D000616,HON. SCOTT DESJARLAIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/23/2017,AP,E0497866,THOMAS BRENDAN A.,2/21/2017,2/24/2017,WATER,2.49,2017,THOMAS BRENDAN A.
D000616,HON. SCOTT DESJARLAIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/30/2017,AP,E0479260,COLUMBIA POWER & WATER,12/1/2016,1/1/2017,UTILITIES,155.61,2017,COLUMBIA POWER & WATER
D000616,HON. SCOTT DESJARLAIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/11/2017,AP,E0475541,QUENCH,12/1/2016,12/31/2016,WATER,235,2016,QUENCH
D000616,HON. SCOTT DESJARLAIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/1/2017,AR,AC-12638,QUENCH USA LLC,6/27/2016,8/31/2016,WATER,-82,2016,QUENCH USA LLC
D000610,HON. THEODORE E. DEUTCH,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-BISHOPS WATER CO,1/29/2017,2/28/2017,WATER,34.5,2017,CITI PCARD-BISHOPS WATER CO
D000610,HON. THEODORE E. DEUTCH,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-READYREFRESH BY NESTLE,1/29/2017,2/28/2017,WATER,28.54,2017,CITI PCARD-READYREFRESH BY NESTLE
D000610,HON. THEODORE E. DEUTCH,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-BISHOPS WATER CO INC,12/29/2016,1/2/2017,OFFICE SUPPLIES (OUTSIDE),42,2017,CITI PCARD-BISHOPS WATER CO INC
D000600,HON. MARIO DIAZ-BALART,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/27/2017,AP,906775,DEER PARK,1/31/2017,1/31/2017,WATER,134.84,2017,DEER PARK
D000600,HON. MARIO DIAZ-BALART,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/28/2017,AP,912405,DEER PARK,2/28/2017,2/28/2017,WATER,172.82,2017,DEER PARK
D000600,HON. MARIO DIAZ-BALART,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/20/2017,AP,900787,DEER PARK,12/31/2016,12/31/2016,WATER,170.74,2016,DEER PARK
D000624,HON. DEBBIE DINGELL,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/13/2017,AP,E0484872,CULLIGAN OF ANN ARBOR/DETROIT,1/1/2017,1/31/2017,WATER,39.95,2017,CULLIGAN OF ANN ARBOR/DETROIT
D000624,HON. DEBBIE DINGELL,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/27/2017,AP,906775,DEER PARK,1/31/2017,1/31/2017,WATER,72.95,2017,DEER PARK
D000624,HON. DEBBIE DINGELL,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/3/2017,AP,E0489728,CULLIGAN OF CLEVELAND,2/1/2017,2/28/2017,WATER,39.95,2017,CULLIGAN OF CLEVELAND
D000624,HON. DEBBIE DINGELL,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/28/2017,AP,912405,DEER PARK,2/28/2017,2/28/2017,WATER,42.95,2017,DEER PARK
D000624,HON. DEBBIE DINGELL,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/20/2017,AP,900787,DEER PARK,12/31/2016,12/31/2016,WATER,72.95,2016,DEER PARK
D000399,HON. LLOYD DOGGETT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/29/2017,AP,E0500260,SAN ANTONIO WATER SYSTEMS,1/20/2017,2/16/2017,UTILITIES,125.9,2017,SAN ANTONIO WATER SYSTEMS
D000399,HON. LLOYD DOGGETT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/3/2017,AP,E0484526,QUENCH,12/27/2016,2/28/2017,WATER,124.67,2017,QUENCH
D000399,HON. LLOYD DOGGETT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/9/2017,AP,E0475910,SAN ANTONIO WATER SYSTEMS,11/15/2016,12/19/2016,UTILITIES,58.18,2016,SAN ANTONIO WATER SYSTEMS
D000625,HON. DANIEL M. DONOVAN  JR.,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/20/2017,AP,E0497286,WATERWORKS SPRING WATER INC,1/17/2017,1/17/2017,WATER,74.4,2017,WATERWORKS SPRING WATER INC
D000625,HON. DANIEL M. DONOVAN  JR.,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/20/2017,AP,E0497300,BARTLETT BLAIRE,2/5/2017,3/4/2017,WATER,24.78,2017,BARTLETT BLAIRE
D000625,HON. DANIEL M. DONOVAN  JR.,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/25/2017,AP,E0480354,WATERWORKS SPRING WATER INC,10/11/2016,10/11/2016,WATER,92.86,2016,WATERWORKS SPRING WATER INC
D000625,HON. DANIEL M. DONOVAN  JR.,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/8/2017,AP,E0485096,WATERWORKS SPRING WATER INC,12/12/2016,12/12/2016,WATER,83.63,2016,WATERWORKS SPRING WATER INC
D000482,HON. MICHAEL F. DOYLE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/30/2017,AP,E0482165,CRYSTAL SPRINGS,12/20/2016,1/12/2017,WATER,48.06,2017,CRYSTAL SPRINGS
D000482,HON. MICHAEL F. DOYLE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/30/2017,AP,E0482166,CRYSTAL SPRINGS,12/16/2016,1/4/2017,WATER,91.56,2017,CRYSTAL SPRINGS
D000482,HON. MICHAEL F. DOYLE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/27/2017,AP,906775,DEER PARK,1/31/2017,1/31/2017,WATER,52.95,2017,DEER PARK
D000482,HON. MICHAEL F. DOYLE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/13/2017,AP,E0495616,CRYSTAL SPRINGS,1/17/2017,2/11/2017,WATER,68.56,2017,CRYSTAL SPRINGS
D000482,HON. MICHAEL F. DOYLE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/15/2017,AP,E0495617,CRYSTAL SPRINGS,1/13/2017,2/4/2017,WATER,52.73,2017,CRYSTAL SPRINGS
D000482,HON. MICHAEL F. DOYLE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/28/2017,AP,912405,DEER PARK,2/28/2017,2/28/2017,WATER,42.95,2017,DEER PARK
D000482,HON. MICHAEL F. DOYLE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/28/2017,AP,E0499458,CRYSTAL SPRINGS,2/10/2017,3/4/2017,WATER,57.11,2017,CRYSTAL SPRINGS
D000482,HON. MICHAEL F. DOYLE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/30/2017,AP,E0500893,CRYSTAL SPRINGS,2/14/2017,3/11/2017,WATER,78.03,2017,CRYSTAL SPRINGS
